train_end,test_start,test_end,h,smape_ma,wape_ma,smape_sarimax,wape_sarimax,store_id,item_id
2014-04-06,2014-04-07,2014-04-20,14,15.077042743178435,15.240538686364285,8.771188005691059,9.02751290385756,2,GROCERY I
2014-04-20,2014-04-21,2014-05-04,14,17.35512042049096,17.79238063550121,8.13892880774115,8.17417310867898,2,GROCERY I
2014-05-04,2014-05-05,2014-05-18,14,14.929737395085988,15.257056761576449,9.495793477962884,9.644549139418992,2,GROCERY I
2014-05-18,2014-05-19,2014-06-01,14,21.79627575271195,22.521375522685652,9.93699933252122,9.844416433404573,2,GROCERY I
2014-06-01,2014-06-02,2014-06-15,14,15.477507208868364,15.497001197167656,9.409218904086822,9.569028625384329,2,GROCERY I
2014-06-15,2014-06-16,2014-06-29,14,15.144510302118935,15.447975826415867,5.760935462176468,5.710220082683652,2,GROCERY I
2014-06-29,2014-06-30,2014-07-13,14,11.41020269314488,11.56304649339662,10.091862789761416,10.068788509193437,2,GROCERY I
2014-07-13,2014-07-14,2014-07-27,14,12.060329766374277,12.12600245556678,5.057816496746949,5.307236322452424,2,GROCERY I
2014-07-27,2014-07-28,2014-08-10,14,13.0137020788943,12.877646303203697,7.715305344177752,7.565165921561142,2,GROCERY I
2014-08-10,2014-08-11,2014-08-24,14,14.018408207676364,14.223814682109529,6.555101608940641,6.786666554545295,2,GROCERY I
2014-08-24,2014-08-25,2014-09-07,14,18.92040870497363,18.832574960768614,12.137589388987244,12.13436998219611,2,GROCERY I
2014-09-07,2014-09-08,2014-09-21,14,19.33077954860865,19.432861946114706,9.935570389754565,9.680375137461162,2,GROCERY I
2014-09-21,2014-09-22,2014-10-05,14,19.052537692823517,19.364036329990757,12.723067408928173,12.89750758546042,2,GROCERY I
2014-10-05,2014-10-06,2014-10-19,14,16.690225478233618,17.337610777763526,7.241773991845665,7.615021482675667,2,GROCERY I
2014-10-19,2014-10-20,2014-11-02,14,17.225086892624685,17.755526075077917,7.869817783957759,8.070716243981705,2,GROCERY I
2014-11-02,2014-11-03,2014-11-16,14,19.964036459057844,20.4193284673084,13.685699745247131,13.871126985514486,2,GROCERY I
2014-11-16,2014-11-17,2014-11-30,14,16.832281134797427,17.36122540637162,6.587908389926962,6.757668695215811,2,GROCERY I
2014-11-30,2014-12-01,2014-12-14,14,14.230044431498987,14.371048114586705,12.7464824833603,11.934421809708036,2,GROCERY I
2014-12-14,2014-12-15,2014-12-29,14,20.773866215906008,20.035892716578033,27.248847474131537,25.372821479783198,2,GROCERY I
2014-12-29,2014-12-30,2015-01-12,14,27.800850755225802,23.272584331905076,26.539046261469462,21.313811676266997,2,GROCERY I
2015-01-12,2015-01-13,2015-01-26,14,24.451200024615126,25.22501685334577,18.483555225612143,19.063403458124398,2,GROCERY I
2015-01-26,2015-01-27,2015-02-09,14,16.6667853633973,17.14680982973634,7.971482436245811,8.232179329792789,2,GROCERY I
2015-02-09,2015-02-10,2015-02-23,14,18.004128047616515,18.640081768761647,14.95022164864072,15.70228084413254,2,GROCERY I
2015-02-23,2015-02-24,2015-03-09,14,17.878217927307855,18.492677921835305,10.361449076780456,11.041692380078599,2,GROCERY I
2015-03-09,2015-03-10,2015-03-23,14,16.460257115670252,16.928797174195633,8.061027765386912,8.312371612830642,2,GROCERY I
2015-03-23,2015-03-24,2015-04-06,14,15.561901269551939,15.649091894822151,8.571077312596351,8.236026486768132,2,GROCERY I
2015-04-06,2015-04-07,2015-04-20,14,16.688563938763746,16.884120787803838,8.132113423743597,7.614031223289914,2,GROCERY I
2015-04-20,2015-04-21,2015-05-04,14,19.878319652773587,19.94845202491912,10.948767019938156,10.535967683391181,2,GROCERY I
2015-05-04,2015-05-05,2015-05-18,14,15.134537763150972,15.262347542567031,8.06924514759433,8.159452620747642,2,GROCERY I
